,id,name,idname,classroom,meetpermalink,courseGDrive,courseDropbox,website,gmailSearchTerm,studentGDrive,email
0,mt3124,Real Analysis II,MT 3124,https://classroom.google.com/u/1/c/MzgwMjAxMTU2MjYx,https://meet.google.com/lookup/dasmv4usfh?authuser=1,https://drive.google.com/drive/u/1/folders/1vIcfLuf9O7nbN5cX7c6RsmSmX1wgdiPaapCyMDNCKiLzRTRYZUcZBhx6mr1pvs7f-QR2Y8Vb,,,(MT+3124)+OR+(MT3124)+OR+Ayan,,mt3124@students.iiserpune.ac.in
1,mt3144,Ordinary Differential Equations,MT 3144,https://classroom.google.com/u/1/c/MTQzNzU0OTY4MDky,https://meet.google.com/lookup/hdpoqnapd6?authuser=1,https://drive.google.com/drive/u/1/folders/1qc4Q0X4M27UfoqEmyU0byJWyWcjEpSSsnFmrbgypAPU1b0bUjJrkVNhi6AC1E1VMo8RljZ8s,,https://piazza.com/class/ks8ucqg16ck2io,(MT+3144)+OR+(MT3144)+OR+Sspallone,,mt3144@students.iiserpune.ac.in
2,mt3164,Numerical Analysis,MT 3164,https://classroom.google.com/u/1/c/Mzc5ODM4NzQ2MDQ2,https://meet.google.com/cqr-jtkx-kuj?authuser=1,,,https://sites.google.com/site/anindyagoswami/teaching/na2021,(MT+3164)+OR+(MT3164)+OR+Anindya,,mt3164@students.iiserpune.ac.in
3,mt3174,Fields and Galois Theory,MT 3174,https://classroom.google.com/u/1/c/Mzc5NTYxNDUzNTUx,https://meet.google.com/vse-hzia-oxw?authuser=1,,,https://sites.google.com/site/anupamk182/galoistheory21,,,mt3174@students.iiserpune.ac.in
4,mt3184,Markov Chains and Queuing Models,MT 3184,https://classroom.google.com/u/1/c/MzgwMjAxOTgwNTU5,https://meet.google.com/lookup/b4atzp6mes?authuser=1,https://drive.google.com/drive/u/1/folders/1tETeuvqJqYxKLUrSsedtehpcGEiDGmAPV5CVClVSIQR6adH2SwU65cknzkSgIIz1jIphRWY8,,,(MT+3184)+OR+(MT3184),,mt3184@students.iiserpune.ac.in
5,mth412,Algebraic Topology,MTH 412,https://classroom.google.com/u/3/c/Mzc4MTk1ODE5MjU1,https://meet.google.com/din-eqjf-ecb?authuser=1,,,,,,mth412@students.iiserpune.ac.in
6,mth413,Algorithms,MTH 413,https://classroom.google.com/u/1/c/Mzc5NzkzOTA5NTI0,,,,,(MTH+413)+OR+(MTH413)+OR+Soumen,,mth413@students.iiserpune.ac.in
7,mth415,Probability,MTH 415,https://classroom.google.com/u/1/c/MzgwMDE5NTM5NzI2,https://zoom.us/j/99383637344,,,,(MTH+415)+OR+(MTH415)+OR+Moumanti,,mth415@students.iiserpune.ac.in
8,mth421,Measure Theory and Integration,MTH 421,https://classroom.google.com/u/1/c/Mzc5NTY0NTQyNDE3,https://meet.google.com/wkn-bkgc-hdn?authuser=1,,,,(MTH+421)+OR+(MTH421)+OR+Bhimani,,mth421@students.iiserpune.ac.in
9,mth449,Probabilistic Number Theory,MTH 449,https://classroom.google.com/u/3/c/MzgwMDIwMjU0NjIz,https://meet.google.com/kbb-zbwh-qvf?authuser=1,,,,,,mth449@students.iiserpune.ac.in
10,mth450,Representation Theory of Finite Groups,MTH 450,https://classroom.google.com/u/3/c/Mzc5NTUzNDMwNjQ3,https://meet.google.com/vfg-euem-ief?authuser=1,https://drive.google.com/drive/u/1/folders/1RV_N5jST_FsfmepgIg1a24avgEMLyKCTGqxipxSwAm8F2ODoHicoBu13593rxOXBPCy740Fs?usp=sharing,,,,,mth450@students.iiserpune.ac.in
