,id,name,idname,classroom,meetpermalink,courseGDrive,courseDropbox,website,gmailSearchTerm,studentGDrive,email
0,bi2113,Ecology and Evolution,BI 2113,https://classroom.google.com/u/1/c/Mzc4MDM1NDUyNDIz,https://zoom.us/j/98359676635?pwd=RXVUcytXVmUxUjNDMWxQVXBHby9hdz09 ,https://drive.google.com/drive/u/1/folders/1uxhzpsI9_15U-AsIrmBixspQhBICFXh9Lc63yAVYgWNlH90mJHlB1_DkIj9gKrvnpUCFpkL3,,,(BI2113)+OR+(BI+2113)+OR+Sutirth,,bi2113@students.iiserpune.ac.in
1,bi2123,Introduction to Biological Systems (E),BI 2123,https://classroom.google.com/u/1/c/MzgwMDQ3NTM1NDYz,https://zoom.us/j/95518376923?pwd=d1hheXdZVUhZLzVqQk5pUVhQdUlNZz09,https://drive.google.com/drive/u/1/folders/16rbMcwsKJ56a8zJ4SlsbTGJ9Cw7CVrNMkoU-n-ostVbKXrdxsgD-qh5oAA6dD73b3iS5INQS,,,(BI2123)+OR+(BI+2123)+OR+Aurnab+OR+Collins,,bi2123@students.iiserpune.ac.in
2,ch2113,Principles of Inorganic Chemistry,CH 2113,https://classroom.google.com/u/1/c/Mzc5NTM2MjEyMDA0,https://zoom.us/j/97733965261?pwd=REo4ZzhqWENEUE9IYlhoZVB2L0YxQT09,https://drive.google.com/drive/u/1/folders/1VXE-N8vHy7DgI6gCS7DZ9SsFK0Ic-Nr_03qhLTy1qFHJ1dm2a6B9755iuFm3jsv6V0n5JlkW,,,(CH2113)+OR+(CH+2113)+OR+Boomi+OR+Vaidhyanathan,,ch2113@students.iiserpune.ac.in
3,ch2223,Principles of Organic Chemistry II (E),CH 2223,https://classroom.google.com/u/1/c/Mzc3NTU3NjQ3MTM2,https://meet.google.com/lookup/avgwqlqdvl?authuser=1&hs=179,https://drive.google.com/drive/u/1/folders/1FyM--x_4TtO_tS74Jl399zYlV014biBz5SdJH5T-sUV2nj0k84eoz6pnw1p4aqUxhSYdXuyg,,,(CH2223)+OR+(CH+2223)+OR+Harinath,,ch2223@students.iiserpune.ac.in
4,ec2113,Introduction to Climate Science,EC2113,https://classroom.google.com/u/1/c/MzgwMDUzMDk1NDM0,https://zoom.us/j/93892409926?pwd=bGtURkNiRzY1dlRvYkZRM0hVbVlYZz09,,,,(EC2113)+OR+(EC+2113)+OR+Neena,,ec2113@students.iiserpune.ac.in
5,ec2123,Landscapes and their Evolution(E),EC2123,,,,,,,,ec2123@students.iiserpune.ac.in
6,mt2113,Introduction to Probability,MT2113,https://classroom.google.com/u/1/c/Mzc5NzgxOTU5MTgx,https://zoom.us/j/99650844805?pwd=a0JjZ1c5RGdTY2NCUHJkUExJUll3UT09,,,,(MT2113)+OR+(MT+2113)+OR+Vivek,,mt2113@students.iiserpune.ac.in
7,mt2123,Advanced Linear Algebra,MT2123,https://classroom.google.com/u/1/c/Mzc5ODAwODMwMDY4,https://zoom.us/j/99718811644?pwd=T3VzaTFCQ0RFRGp2YzZyblY5dWM0dz09,,,,(MT2123)+OR+(MT+2123)+OR+Anisa,,mt2123@students.iiserpune.ac.in
8,ph1123,Physics Lab 1,PH1123,https://classroom.google.com/u/1/c/Mzc5NzgyOTIwMzA5,https://zoom.us/j/96065415178?pwd=K1RFRU5OVlFNTHJGem1tN0p6S3VaQT09,,,,(PH1123)+OR+(PH+1123)+OR+Aparna,,ph1123@students.iiserpune.ac.in
9,ph2113,Introductory Quantum Mechanics,PH 2113,https://classroom.google.com/u/1/c/Mzc5ODA3NDAwOTY3,https://zoom.us/j/99341303491?pwd=MVRFSU1hNDVOcjJGU040WmlkVWVVQT09,,,https://www.iiserpune.ac.in/~sdube/ph2113/,(PH2113)+OR+(PH+2113)+OR+Saurabh+OR+Dube+OR+Satish+Ogale,,ph2113@students.iiserpune.ac.in
10,ph2123,Mathematical Methods for Physics,PH2123,https://classroom.google.com/u/1/c/MzgwMDgxMDM5NTg1,,,,,(PH2123)+OR+(PH+2123)+OR+Bijay+OR+Sunil,,ph2123@students.iiserpune.ac.in
